"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","199.107.120.10","192.168.1.2","TCP","60","443  >  61610 [ACK] Seq=1 Ack=1 Win=4754 Len=0"
"2","0.201353","192.168.1.2","3.224.140.225","TCP","55","49705  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
"3","0.211591","192.168.1.2","20.36.219.28","TCP","1474","49695  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1420 [TCP segment of a reassembled PDU]"
"4","0.211592","192.168.1.2","20.36.219.28","TLSv1.2","91","Application Data"
"5","0.337182","192.168.1.3","224.0.0.251","MDNS","103","Standard query 0x0342 PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"6","0.337182","192.168.1.3","224.0.0.251","MDNS","103","Standard query 0x0342 PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"7","0.340121","3.224.140.225","192.168.1.2","TCP","66","443  >  49705 [ACK] Seq=1 Ack=2 Win=163 Len=0 SLE=1 SRE=2"
"8","0.399712","20.36.219.28","192.168.1.2","TCP","60","443  >  49695 [ACK] Seq=1 Ack=1458 Win=2052 Len=0"
"9","0.527107","192.168.1.2","8.36.80.192","TCP","66","61612  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","0.567286","199.107.120.10","192.168.1.2","TLSv1","971","Application Data"
"11","0.608543","192.168.1.2","199.107.120.10","TCP","54","61610  >  443 [ACK] Seq=1 Ack=918 Win=63884 Len=0"
"12","0.631433","192.168.1.2","64.233.186.188","TCP","55","49704  >  5228 [ACK] Seq=1 Ack=1 Win=511 Len=1"
"13","0.712510","192.168.1.2","199.107.120.10","TLSv1","400","Application Data, Application Data"
"14","0.725024","8.36.80.192","192.168.1.2","TCP","62","443  >  61612 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1400 SACK_PERM=1"
"15","0.725091","192.168.1.2","8.36.80.192","TCP","54","61612  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"16","0.725347","192.168.1.2","8.36.80.192","TLSv1.2","258","Client Hello"
"17","0.743807","64.233.186.188","192.168.1.2","TCP","66","5228  >  49704 [ACK] Seq=1 Ack=2 Win=262 Len=0 SLE=1 SRE=2"
"18","0.748100","192.229.138.186","192.168.1.2","TLSv1.2","1474","Application Data"
"19","0.748100","192.229.138.186","192.168.1.2","TCP","1474","443  >  61611 [ACK] Seq=1421 Ack=1 Win=291 Len=1420 [TCP segment of a reassembled PDU]"
"20","0.748101","192.229.138.186","192.168.1.2","TCP","1474","443  >  61611 [ACK] Seq=2841 Ack=1 Win=291 Len=1420 [TCP segment of a reassembled PDU]"
"21","0.748102","192.229.138.186","192.168.1.2","TLSv1.2","1018","Application Data"
