"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.3","224.0.0.251","MDNS","103","Standard query 0x03d9 PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"2","0.000000","192.168.1.3","224.0.0.251","MDNS","103","Standard query 0x03d9 PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"3","0.133345","192.168.1.2","18.233.201.37","TCP","55","64382  >  443 [ACK] Seq=1 Ack=1 Win=65320 Len=1 [TCP segment of a reassembled PDU]"
"4","0.198414","192.168.1.2","52.11.211.115","TCP","55","64383  >  443 [ACK] Seq=1 Ack=1 Win=64241 Len=1 [TCP segment of a reassembled PDU]"
"5","0.236267","18.233.201.37","192.168.1.2","TCP","60","443  >  64382 [ACK] Seq=1 Ack=2 Win=30464 Len=0"
"6","0.363188","52.11.211.115","192.168.1.2","TCP","60","443  >  64383 [ACK] Seq=1 Ack=2 Win=29326 Len=0"
"7","1.237264","192.168.1.2","172.217.28.238","UDP","1392","51682  >  443 Len=1350"
"8","1.237679","192.168.1.2","172.217.28.238","UDP","978","51682  >  443 Len=936"
"9","1.336520","172.217.28.238","192.168.1.2","UDP","78","443  >  51682 Len=36"
"10","1.360404","172.217.28.238","192.168.1.2","UDP","1392","443  >  51682 Len=1350"
"11","1.360404","172.217.28.238","192.168.1.2","UDP","73","443  >  51682 Len=31"
"12","1.360404","172.217.28.238","192.168.1.2","UDP","140","443  >  51682 Len=98"
"13","1.360771","192.168.1.2","172.217.28.238","UDP","91","51682  >  443 Len=49"
"14","1.360891","192.168.1.2","172.217.28.238","UDP","70","51682  >  443 Len=28"
"15","1.385538","172.217.28.238","192.168.1.2","UDP","62","443  >  51682 Len=20"
"16","1.462546","172.217.28.238","192.168.1.2","UDP","62","443  >  51682 Len=20"
"17","1.610399","192.168.1.2","172.217.29.234","TLSv1.2","140","Application Data"
"18","1.610494","192.168.1.2","172.217.29.234","TLSv1.2","93","Application Data"
"19","1.610534","192.168.1.2","172.217.29.234","TLSv1.2","201","Application Data"
"20","1.680937","172.217.29.234","192.168.1.2","TCP","60","443  >  61228 [ACK] Seq=1 Ack=87 Win=261 Len=0"
"21","1.680938","172.217.29.234","192.168.1.2","TCP","60","443  >  61228 [ACK] Seq=1 Ack=126 Win=261 Len=0"
"22","1.681797","172.217.29.234","192.168.1.2","TLSv1.2","93","Application Data"
"23","1.722086","192.168.1.2","172.217.29.234","TCP","54","61228  >  443 [ACK] Seq=273 Ack=40 Win=508 Len=0"
"24","1.755745","172.217.29.234","192.168.1.2","TCP","60","443  >  61228 [ACK] Seq=40 Ack=273 Win=266 Len=0"
"25","2.174613","192.168.1.2","172.217.29.234","TLSv1.2","89","Application Data"
"26","2.245284","172.217.29.234","192.168.1.2","TCP","60","443  >  61228 [ACK] Seq=40 Ack=308 Win=266 Len=0"
"27","2.854158","192.168.1.2","216.58.202.206","UDP","1157","56286  >  443 Len=1115"
